Dia,Mes,Anio,Hora,Minuto,Segundo,Magnitud,Latitud,Longitud,Deep,Km,Localidad,Entidad
01,01,20,0,06,09,3.4,16.3972,-97.4925,6,43,RIO GRANDE,OAX
01,01,20,0,10,19,4,18.1212,-103.378,15,76,COALCOMAN,MICH
01,01,20,0,33,22,3.2,16.3887,-97.5088,4,43,RIO GRANDE,OAX
01,01,20,0,48,08,3.8,16.5347,-91.104,33,97,LAS MARGARITAS,CHIS
01,01,20,0,59,13,3.3,16.0057,-97.4523,30,2,RIO GRANDE,OAX
01,01,20,1,28,58,3.2,16.2318,-98.0898,9,13,PINOTEPA NACIONAL,OAX
01,01,20,1,29,47,3.4,16.2753,-98.0913,11,8,PINOTEPA NACIONAL,OAX
01,01,20,1,34,48,3.8,14.9815,-93.2555,63,64,MAPASTEPEC,CHIS
01,01,20,1,45,46,3.7,15.866,-94.6995,62,64,SALINA CRUZ,OAX
01,01,20,1,59,18,3.8,15.7067,-93.8745,80,44,TONALA,CHIS
01,01,20,1,59,31,3.4,16.999,-97.4685,16,37,H TLAXIACO,OAX
01,01,20,1,59,42,3.2,16.2933,-97.8188,6,25,PINOTEPA NACIONAL,OAX
01,01,20,2,11,26,3.4,18.4463,-103,12,40,COALCOMAN,MICH
01,01,20,2,15,19,3.6,16.1695,-97.5618,14,22,RIO GRANDE,OAX
01,01,20,2,19,35,3.7,14.8528,-93.324,19,80,MAPASTEPEC,CHIS
01,01,20,2,27,56,3.7,16.4915,-99.2292,5,38,SAN MARCOS,GRO
01,01,20,2,31,02,3.4,16.6437,-98.4763,11,9,OMETEPEC,GRO
01,01,20,2,46,06,3.7,16.3318,-98.3078,6,27,PINOTEPA NACIONAL,OAX
01,01,20,3,19,50,3.4,16.2965,-97.8848,2,19,PINOTEPA NACIONAL,OAX
01,01,20,3,20,12,4.1,25.6622,-109.602,10,52,AHOME,SIN
01,01,20,4,18,00,3.6,16.2708,-98.1355,12,12,PINOTEPA NACIONAL,OAX
01,01,20,4,50,38,3.8,16.9685,-94.132,158,53,CINTALAPA,CHIS
01,01,20,5,01,37,3.2,16.0877,-97.5233,26,13,RIO GRANDE,OAX
01,01,20,5,32,42,3.4,18.2052,-103.587,3,78,COALCOMAN,MICH
01,01,20,5,38,08,3.7,17.0392,-96.8483,59,9,CUILAPAM,OAX
01,01,20,6,36,18,3.6,15.3553,-94.6955,16,106,SALINA CRUZ,OAX
01,01,20,6,38,52,3.9,16.7445,-94.3815,120,56,UNION HIDALGO,OAX
01,01,20,6,52,30,3.6,15.9442,-96.9875,11,12,PUERTO ESCONDIDO,OAX
01,01,20,7,06,27,3.6,14.877,-92.6165,96,33,HUIXTLA,CHIS
01,01,20,7,14,31,3.2,16.0575,-97.2162,15,24,RIO GRANDE,OAX
01,01,20,7,17,30,3.7,18.3188,-102.669,2,48,LA MIRA,MICH
01,01,20,7,19,14,3.8,18.3162,-102.615,7,43,LA MIRA,MICH
01,01,20,7,22,09,3.5,16.7335,-98.439,42,7,OMETEPEC,GRO
01,01,20,7,35,30,3.7,16.4138,-95.0982,4,9,JUCHITAN DE ZARAGOZA,OAX
01,01,20,7,37,14,3.3,16.689,-98.8685,9,49,OMETEPEC,GRO
01,01,20,8,00,43,3.4,18.198,-103.577,3,78,COALCOMAN,MICH
01,01,20,8,05,53,3.4,18.0918,-103.228,16,76,COALCOMAN,MICH
01,01,20,8,21,14,3.6,15.5408,-94.0937,60,70,TONALA,CHIS
01,01,20,8,23,20,4,16.3618,-98.2193,15,18,PINOTEPA NACIONAL,OAX
01,01,20,8,43,54,3.7,14.6137,-93.7447,15,130,MAPASTEPEC,CHIS
01,01,20,8,47,40,3.8,15.0195,-93.6287,38,86,PIJIJIAPAN,CHIS
01,01,20,9,21,57,4.2,16.5897,-94.065,129,38,CINTALAPA,CHIS
01,01,20,9,40,09,3.3,19.3755,-104.677,34,19,CIHUATLAN,JAL
01,01,20,10,26,43,3.9,13.8288,-93.1667,6,144,CD HIDALGO,CHIS
01,01,20,10,45,48,3.6,16.8878,-94.8655,117,19,MATIAS ROMERO,OAX
01,01,20,10,46,28,3.8,13.835,-92.4217,10,98,CD HIDALGO,CHIS
01,01,20,10,47,10,4.3,13.9397,-92.6372,41,97,CD HIDALGO,CHIS
01,01,20,10,53,07,3.8,15.1233,-94.4395,16,129,TONALA,CHIS
01,01,20,11,00,02,3.7,15.2103,-94.3857,8,118,TONALA,CHIS
01,01,20,11,01,14,4,13.639,-92.5072,17,121,CD HIDALGO,CHIS
01,01,20,11,51,56,4,15.9608,-97.6947,11,29,RIO GRANDE,OAX
01,01,20,11,55,22,3.2,15.9373,-97.6987,16,30,RIO GRANDE,OAX
01,01,20,12,17,04,3.6,15.9463,-97.694,16,29,RIO GRANDE,OAX
01,01,20,12,25,15,3.2,16.2707,-98.0927,14,9,PINOTEPA NACIONAL,OAX
01,01,20,12,40,39,3.3,16.3503,-98.2065,20,16,PINOTEPA NACIONAL,OAX
01,01,20,12,56,14,3.8,18.1852,-101.423,59,61,ZIHUATANEJO,GRO
01,01,20,13,18,51,3.8,16.783,-94.918,15,16,MATIAS ROMERO,OAX
01,01,20,14,17,26,4,16.2638,-98.2873,17,27,PINOTEPA NACIONAL,OAX
01,01,20,15,02,48,3.9,17.221,-100.503,45,7,ATOYAC DE ALVAREZ,GRO
01,01,20,15,32,36,3.4,16.4048,-98.4812,2,32,OMETEPEC,GRO
01,01,20,15,43,10,3.6,19.4458,-104.579,50,23,CASIMIRO CASTILLO,JAL
01,01,20,16,06,25,3.8,16.7592,-99.6925,7,25,ACAPULCO,GRO
01,01,20,16,15,48,3.6,14.905,-93.3262,46,75,MAPASTEPEC,CHIS
01,01,20,16,30,05,3.7,16.475,-93.7522,136,25,CINTALAPA,CHIS
01,01,20,17,57,31,2.7,18.9048,-98.6007,5,17,ATLIXCO,PUE
01,01,20,18,16,33,3.7,16.264,-93.8227,120,9,ARRIAGA ,CHIS
01,01,20,19,03,33,3.4,16.339,-98.2688,17,23,PINOTEPA NACIONAL,OAX
01,01,20,19,21,55,4.6,13.7332,-92.3972,15,108,CD HIDALGO,CHIS
01,01,20,19,53,11,3.7,16.7938,-94.9922,104,10,MATIAS ROMERO,OAX
01,01,20,20,36,30,3.9,16.7368,-94.6955,16,32,UNION HIDALGO,OAX
01,01,20,21,12,13,3.4,16.5933,-98.4158,5,10,OMETEPEC,GRO
01,01,20,21,14,22,3.6,15.1783,-92.9505,93,30,MAPASTEPEC,CHIS
01,01,20,21,56,10,3.4,15.7548,-96.826,32,28,PUERTO ESCONDIDO,OAX
01,01,20,21,59,30,3.9,16.4157,-95.0718,13,6,JUCHITAN DE ZARAGOZA,OAX
01,01,20,22,00,35,3.7,16.2607,-93.1283,179,15,VILLAFLORES,CHIS
01,01,20,22,03,13,3.4,16.889,-100.337,10,30,COYUCA DE BENITEZ,GRO
01,01,20,22,15,16,3.8,26.8633,-108.463,5,52,EL FUERTE,SIN
01,01,20,22,18,17,3.7,15.7215,-97.972,17,66,RIO GRANDE,OAX
01,01,20,22,37,17,3.4,16.6545,-99.3005,2,18,SAN MARCOS,GRO
01,01,20,22,46,09,3.4,16.9243,-100.368,9,31,COYUCA DE BENITEZ,GRO
01,01,20,22,59,38,3.9,15.502,-92.3155,180,17,MOTOZINTLA,CHIS
01,01,20,23,17,11,3.6,16.784,-99.8595,2,10,ACAPULCO,GRO
01,01,20,23,23,19,3.5,15.9345,-98.4495,15,62,PINOTEPA NACIONAL,OAX
01,01,20,23,39,39,3.9,15.3043,-94.7188,16,110,SALINA CRUZ,OAX
01,01,20,23,46,19,3.7,17.3038,-95.6833,94,82,J RODRIGUEZ CLARA,VER
01,01,20,23,50,26,3.8,16.3925,-94.9733,16,7,JUCHITAN DE ZARAGOZA,OAX
02,01,20,0,15,28,4.1,16.9998,-94.0485,151,48,CINTALAPA,CHIS
02,01,20,1,04,05,3.6,16.6038,-98.9173,11,55,SAN MARCOS,GRO
02,01,20,1,13,56,4.4,13.8147,-92.4423,10,101,CD HIDALGO,CHIS
02,01,20,1,40,54,3.7,17.3945,-94.6853,152,61,SAYULA DE ALEMAN,VER
02,01,20,2,00,15,3.8,17.4625,-94.857,142,48,SAYULA DE ALEMAN,VER
02,01,20,2,07,16,4.3,13.8012,-92.4318,10,102,CD HIDALGO,CHIS
02,01,20,2,12,41,3.3,16.829,-100.42,6,40,COYUCA DE BENITEZ,GRO
02,01,20,2,20,37,3.8,15.185,-94.3385,15,118,TONALA,CHIS
02,01,20,2,22,48,3.2,16.4127,-98.1892,22,17,PINOTEPA NACIONAL,OAX
02,01,20,2,24,10,3.7,32.451,-115.216,6,21,GPE VICTORIA(KM.43),BC
02,01,20,2,49,05,3.2,16.4485,-99.1095,8,49,SAN MARCOS,GRO
02,01,20,2,56,54,3.7,15.436,-94.6232,16,103,SALINA CRUZ,OAX
02,01,20,2,59,44,3.7,15.0967,-94.4292,16,131,TONALA,CHIS
02,01,20,3,18,50,3.6,16.2728,-98.1172,12,10,PINOTEPA NACIONAL,OAX
02,01,20,3,22,36,3.5,16.2573,-98.0925,11,10,PINOTEPA NACIONAL,OAX
02,01,20,3,31,13,3.2,16.2572,-98.0498,10,9,PINOTEPA NACIONAL,OAX
02,01,20,3,39,19,3.4,16.2803,-97.778,3,30,PINOTEPA NACIONAL,OAX
02,01,20,4,15,44,4.3,15.6095,-96.1183,5,18,CRUCECITA,OAX
02,01,20,4,21,48,3.7,15.622,-96.1238,5,16,CRUCECITA,OAX
02,01,20,4,24,28,3.9,15.0605,-94.4715,17,137,TONALA,CHIS
02,01,20,4,38,12,3.5,16.4873,-98.4643,29,23,OMETEPEC,GRO
02,01,20,5,21,50,3.9,15.898,-92.9242,166,38,PIJIJIAPAN,CHIS
02,01,20,5,41,46,3.3,16.2622,-98.251,11,23,PINOTEPA NACIONAL,OAX
02,01,20,5,46,02,3.3,16.2582,-98.0765,11,10,PINOTEPA NACIONAL,OAX
02,01,20,6,11,19,3.3,16.1007,-97.2407,32,23,RIO GRANDE,OAX
02,01,20,6,52,16,3.7,16.079,-95.88,56,44,CRUCECITA,OAX
02,01,20,7,28,33,4.5,15.8178,-95.991,40,16,CRUCECITA,OAX
02,01,20,7,41,47,3.7,16.3913,-94.1278,117,30,ARRIAGA ,CHIS
02,01,20,8,31,43,3.4,19.0953,-104.296,31,5,MANZANILLO,COL
02,01,20,9,23,52,3.3,15.9353,-97.6878,17,28,RIO GRANDE,OAX
02,01,20,9,30,40,3,16.2833,-98.0855,12,7,PINOTEPA NACIONAL,OAX
02,01,20,9,42,34,4,14.9653,-93.9733,17,114,PIJIJIAPAN,CHIS
02,01,20,10,02,08,3.4,31.1715,-115.64,12,60,VICENTE GUERRERO,BC
02,01,20,10,19,25,3.7,15.4173,-94.7747,15,96,SALINA CRUZ,OAX
02,01,20,10,46,08,3.8,17.3263,-94.5522,144,72,MATIAS ROMERO,OAX
02,01,20,10,56,09,3.2,16.267,-98.0402,12,8,PINOTEPA NACIONAL,OAX
02,01,20,11,14,19,3.2,16.2373,-98.0397,6,12,PINOTEPA NACIONAL,OAX
02,01,20,11,23,38,3.5,16.3822,-97.6818,27,40,PINOTEPA NACIONAL,OAX
02,01,20,11,48,51,3.2,16.558,-98.7777,15,42,OMETEPEC,GRO
02,01,20,12,06,02,3.2,16.1337,-98.4747,3,51,PINOTEPA NACIONAL,OAX
02,01,20,12,40,22,3.5,19.0252,-104.631,10,25,CIHUATLAN,JAL
02,01,20,13,03,29,3.2,16.6502,-99.3145,11,18,SAN MARCOS,GRO
02,01,20,13,08,14,3.2,19.0623,-104.604,10,20,CIHUATLAN,JAL
02,01,20,13,11,07,3.7,16.4442,-98.4223,8,26,OMETEPEC,GRO
02,01,20,13,33,24,3.6,14.5295,-93.285,14,109,MAPASTEPEC,CHIS
02,01,20,13,36,40,3.4,19.2658,-103.816,12,8,COQUIMATLAN,COL
02,01,20,14,02,47,3.4,18.1027,-98.6347,40,22,CHIAUTLA DE TAPIA,PUE
02,01,20,14,50,02,3.7,18.072,-103.405,2,82,COALCOMAN,MICH
02,01,20,15,04,22,3.4,16.7698,-98.9093,38,51,SAN MARCOS,GRO
02,01,20,15,35,03,3.6,15.7505,-94.0677,74,50,TONALA,CHIS
02,01,20,15,58,30,3.2,16.3797,-98.4305,20,34,OMETEPEC,GRO
02,01,20,16,17,23,3.8,15.627,-94.9995,18,65,SALINA CRUZ,OAX
02,01,20,16,41,14,3.5,18.3465,-102.904,10,55,COALCOMAN,MICH
02,01,20,16,43,46,3.8,17.7935,-101.271,40,28,PETATLAN,GRO
02,01,20,16,48,42,3.8,16.8738,-100.302,12,27,COYUCA DE BENITEZ,GRO
02,01,20,17,08,10,3.9,18.0258,-100.682,56,37,CD ALTAMIRANO,GRO
02,01,20,17,09,07,3.4,16.3968,-98.3057,14,28,PINOTEPA NACIONAL,OAX
02,01,20,17,18,25,3.5,17.4017,-97.4593,10,28,H TLAXIACO,OAX
02,01,20,17,21,28,4,16.757,-94.6522,112,36,UNION HIDALGO,OAX
02,01,20,18,32,40,3.7,16.3152,-95.0872,11,15,S BLAS ATEMPA,OAX
02,01,20,19,53,36,3.9,17.1105,-95.223,105,33,MATIAS ROMERO,OAX
02,01,20,20,05,53,3.5,16.1093,-97.5245,15,15,RIO GRANDE,OAX
02,01,20,20,37,13,3.7,15.7705,-94.438,58,77,ARRIAGA ,CHIS
02,01,20,21,23,04,3.1,16.2542,-98.0753,14,10,PINOTEPA NACIONAL,OAX
02,01,20,22,15,22,3.8,14.2458,-93.0472,10,108,CD HIDALGO,CHIS
02,01,20,22,17,18,3.9,15.8743,-95.08,30,36,SALINA CRUZ,OAX
02,01,20,22,19,33,3.8,15.175,-94.4532,17,125,TONALA,CHIS
02,01,20,22,23,01,3.3,16.523,-98.4895,8,20,OMETEPEC,GRO
02,01,20,23,01,41,3.7,14.6025,-93.3945,16,107,MAPASTEPEC,CHIS
02,01,20,23,23,43,3.8,16.2632,-93.0392,221,25,VILLAFLORES,CHIS
02,01,20,23,28,52,3.4,15.6852,-98.5927,7,93,PINOTEPA NACIONAL,OAX
02,01,20,23,46,22,4.1,15.9472,-95.1433,11,27,SALINA CRUZ,OAX
02,01,20,23,47,17,3.6,16.3172,-98.1662,15,12,PINOTEPA NACIONAL,OAX
03,01,20,0,06,48,3.2,16.2652,-98.1313,15,12,PINOTEPA NACIONAL,OAX
03,01,20,0,27,54,3.8,15.039,-94.4717,17,139,TONALA,CHIS
03,01,20,0,47,56,4.1,15.5605,-95.9598,4,30,CRUCECITA,OAX
03,01,20,0,49,01,3.5,31.1265,-115.758,5,50,VICENTE GUERRERO,BC
