in,Dia,Mes,Anio,Fecha,Peso-Yuan,Peso-Dolar,Peso-Yen,Peso-Libra,Peso-Euro
02/01/20,2,1,2020,02/01/20,2.7118,18.8817,0.1736,24.921,21.1201
03/01/20,3,1,2020,03/01/20,2.7065,18.8673,0.1747,24.635,21.0002
06/01/20,6,1,2020,06/01/20,2.702,18.827,0.1742,24.7669,21.0928
07/01/20,7,1,2020,07/01/20,2.7214,18.8852,0.1742,24.8293,21.1174
08/01/20,8,1,2020,08/01/20,2.7084,18.798,0.1729,24.6404,20.9175
09/01/20,9,1,2020,09/01/20,2.7195,18.8453,0.1722,24.53,20.9277
10/01/20,10,1,2020,10/01/20,2.7123,18.7732,0.1712,24.5431,20.8242
13/01/20,13,1,2020,13/01/20,2.7308,18.8215,0.1713,24.4058,20.9342
14/01/20,14,1,2020,14/01/20,2.7324,18.812,0.1711,24.4518,20.9378
15/01/20,15,1,2020,15/01/20,2.7288,18.8077,0.1712,24.4726,20.9696
16/01/20,16,1,2020,16/01/20,2.7304,18.793,0.1709,24.5455,20.972
17/01/20,17,1,2020,17/01/20,2.731,18.7388,0.1701,24.4316,20.8235
20/01/20,20,1,2020,20/01/20,2.7185,18.6725,0.1695,24.2696,20.6938
21/01/20,21,1,2020,21/01/20,2.7078,18.7007,0.1699,24.4231,20.7699
22/01/20,22,1,2020,22/01/20,2.7068,18.6883,0.1699,24.4807,20.7048
23/01/20,23,1,2020,23/01/20,2.7137,18.8018,0.1715,24.6755,20.8531
24/01/20,24,1,2020,24/01/20,2.7165,18.8313,0.1718,24.6473,20.7794
27/01/20,27,1,2020,27/01/20,2.7122,18.9407,0.1739,24.7801,20.8812
28/01/20,28,1,2020,28/01/20,2.693,18.8022,0.1727,24.4692,20.7031
29/01/20,29,1,2020,29/01/20,2.6868,18.7067,0.1715,24.3468,20.5802
30/01/20,30,1,2020,30/01/20,2.6861,18.7853,0.1725,24.559,20.7061
31/01/20,31,1,2020,31/01/20,2.7055,18.9082,0.1736,24.8198,20.868
04/02/20,4,2,2020,04/02/20,2.6695,18.6797,0.1713,24.3088,20.6476
05/02/20,5,2,2020,05/02/20,2.6691,18.6245,0.17,24.3255,20.5289
06/02/20,6,2,2020,06/02/20,2.6783,18.6645,0.1698,24.1948,20.531
07/02/20,7,2,2020,07/02/20,2.6825,18.7763,0.171,24.2787,20.5647
10/02/20,10,2,2020,10/02/20,2.6865,18.7653,0.1709,24.2485,20.5471
11/02/20,11,2,2020,11/02/20,2.6759,18.674,0.17,24.138,20.3808
12/02/20,12,2,2020,12/02/20,2.673,18.6308,0.1694,24.1874,20.3299
13/02/20,13,2,2020,13/02/20,2.6684,18.6458,0.1699,24.2088,20.2465
14/02/20,14,2,2020,14/02/20,2.6564,18.5712,0.1691,24.2001,20.1265
17/02/20,17,2,2020,17/02/20,2.6592,18.5715,0.1689,24.156,20.1139
18/02/20,18,2,2020,18/02/20,2.6544,18.5952,0.1695,24.2491,20.1293
19/02/20,19,2,2020,19/02/20,2.656,18.591,0.1683,24.1441,20.0634
20/02/20,20,2,2020,20/02/20,2.6723,18.7992,0.168,24.1983,20.2966
21/02/20,21,2,2020,21/02/20,2.6843,18.9138,0.1691,24.4858,20.4373
